pos,ndcg,P$@$k
0.0,,1.0
10.0,1.0,1.0
20.0,1.0,1.0
30.0,1.0,1.0
40.0,1.0,1.0
50.0,1.0,0.9803921568627451
60.0,1.0,0.9836065573770492
70.0,1.0,0.9859154929577465
80.0,1.0,0.9876543209876543
90.0,1.0,0.978021978021978
100.0,1.0,0.9603960396039604
110.0,1.0,0.963963963963964
120.0,1.0,0.9669421487603306
130.0,1.0,0.9694656488549618
140.0,1.0,0.9716312056737588
150.0,1.0,0.9735099337748344
160.0,1.0,0.9751552795031055
170.0,1.0,0.9707602339181286
180.0,1.0,0.9668508287292817
190.0,1.0,0.9685863874345549
200.0,1.0,0.9701492537313433
210.0,1.0,0.9715639810426541
220.0,1.0,0.9728506787330317
230.0,1.0,0.9696969696969697
240.0,1.0,0.970954356846473
250.0,1.0,0.9681274900398407
260.0,1.0,0.9693486590038314
270.0,1.0,0.9704797047970479
280.0,1.0,0.9715302491103203
290.0,1.0,0.993127147766323
300.0,1.0,0.9767441860465116
310.0,1.0,0.9485530546623794
320.0,1.0,0.9190031152647975
330.0,0.9999511013463788,0.8942598187311178
340.0,0.9994755155006423,0.8797653958944281
350.0,0.9990230005694177,0.8632478632478633
360.0,0.9985918524096545,0.8559556786703602
370.0,0.9981805341657247,0.8463611859838275
380.0,0.9977876559658644,0.8346456692913385
390.0,0.9974119575322483,0.8312020460358056
400.0,0.9970522932250656,0.8179551122194514
410.0,0.9967076191295898,0.8102189781021898
420.0,0.9963769818657643,0.8004750593824228
430.0,0.9960595088563158,0.7958236658932715
440.0,0.995754399834881,0.7913832199546486
450.0,0.9954609194124509,0.7849223946784922
460.0,0.9951783905503916,0.7787418655097614
470.0,0.9949061888127884,0.7770700636942676
480.0,0.994643737290973,0.7754677754677755
490.0,0.9943905021096872,0.7637474541751528
500.0,0.9941459884380823,0.7624750499001997
510.0,0.9939097369401807,0.7553816046966731
520.0,0.9936813206089792,0.7485604606525912
530.0,0.9934603419363677,0.7419962335216572
540.0,0.9932464303777613,0.7412199630314233
550.0,0.9930392400760348,0.7386569872958257
560.0,0.992838447814135,0.7344028520499108
570.0,0.9926437511698473,0.7320490367775832
580.0,0.9924548668496581,0.7314974182444062
590.0,0.9922715291816309,0.727580372250423
600.0,0.9920934887497569,0.7237936772046589
610.0,0.9920296570345546,0.723404255319149
620.0,0.9921290789213142,0.7326892109500805
630.0,0.992225811683505,0.7448494453248812
640.0,0.9923199669282363,0.7597503900156006
650.0,0.992411650048806,0.7695852534562212
660.0,0.9925009606566834,0.7806354009077155
670.0,0.9925879929776268,0.7883755588673621
680.0,0.9928469662312538,0.7988252569750367
690.0,0.9931732178792042,0.808972503617945
700.0,0.9934914868765683,0.8174037089871612
710.0,0.9938020730609753,0.8213783403656821
720.0,0.9941052611496691,0.8307905686546463
730.0,0.9944013216925347,0.8385772913816689
740.0,0.9946675178310214,0.8434547908232118
750.0,0.9949503228122444,0.8495339547270306
