pos,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6
0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,1.0,0.0,0.0,0.0,0.0,0.0
40.0,1.0,0.0,0.0,0.0,0.0,0.0
50.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,1.0,0.0,0.0,0.0,0.0,0.0
70.0,1.0,0.0,0.0,0.0,0.0,0.0
80.0,1.0,0.0,0.0,0.0,0.0,0.0
90.0,1.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0,0.0,0.0,0.0,0.0,0.0
110.0,1.0,0.0,0.0,0.0,0.0,0.0
120.0,1.0,0.0,0.0,0.0,0.0,0.0
130.0,1.0,0.0,0.0,0.0,0.0,0.0
140.0,1.0,0.0,0.0,0.0,0.0,0.0
150.0,1.0,0.0,0.0,0.0,0.0,0.0
160.0,1.0,0.0,0.0,0.0,0.0,0.0
170.0,1.0,0.0,0.0,0.0,0.0,0.0
180.0,1.0,0.0,0.0,0.0,0.0,0.0
190.0,1.0,0.0,0.0,0.0,0.0,0.0
200.0,1.0,0.0,0.0,0.0,0.0,0.0
210.0,1.0,0.0,0.0,0.0,0.0,0.0
220.0,1.0,0.0,0.0,0.0,0.0,0.0
230.0,1.0,0.0,0.0,0.0,0.0,0.0
240.0,1.0,0.0,0.0,0.0,0.0,0.0
250.0,1.0,0.0,0.0,0.0,0.0,0.0
260.0,1.0,0.0,0.0,0.0,0.0,0.0
270.0,1.0,0.0,0.0,0.0,0.0,0.0
280.0,1.0,0.0,0.0,0.0,0.0,0.0
290.0,1.0,0.0,0.0,0.0,0.0,0.0
300.0,1.0,0.0,0.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0,0.0,0.0
320.0,1.0,0.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0,0.0,0.0
340.0,1.0,0.0,0.0,0.0,0.0,0.0
350.0,1.0,0.0,0.0,0.0,0.0,0.0
360.0,1.0,0.0,0.0,0.0,0.0,0.0
370.0,1.0,0.0,0.0,0.0,0.0,0.0
380.0,1.0,0.0,0.0,0.0,0.0,0.0
390.0,1.0,0.0,0.0,0.0,0.0,0.0
400.0,1.0,0.0,0.0,0.0,0.0,0.0
410.0,1.0,0.0,0.0,0.0,0.0,0.0
420.0,1.0,0.0,0.0,0.0,0.0,0.0
430.0,1.0,0.0,0.0,0.0,0.0,0.0
440.0,1.0,0.0,0.0,0.0,0.0,0.0
450.0,1.0,0.0,0.0,0.0,0.0,0.0
460.0,1.0,0.0,0.0,0.0,0.0,0.0
470.0,1.0,0.0,0.0,0.0,0.0,0.0
480.0,1.0,0.0,0.0,0.0,0.0,0.0
490.0,1.0,0.0,0.0,0.0,0.0,0.0
500.0,1.0,0.0,0.0,0.0,0.0,0.0
510.0,1.0,0.0,0.0,0.0,0.0,0.0
520.0,1.0,0.0,0.0,0.0,0.0,0.0
530.0,1.0,0.0,0.0,0.0,0.0,0.0
540.0,1.0,0.0,0.0,0.0,0.0,0.0
550.0,1.0,0.0,0.0,0.0,0.0,0.0
560.0,1.0,0.0,0.0,0.0,0.0,0.0
570.0,1.0,0.0,0.0,0.0,0.0,0.0
580.0,1.0,0.0,0.0,0.0,0.0,0.0
590.0,1.0,0.0,0.0,0.0,0.0,0.0
600.0,1.0,0.0,0.0,0.0,0.0,0.0
610.0,1.0,0.0,0.0,0.0,0.0,0.0
620.0,1.0,0.0,0.0,0.0,0.0,0.0
630.0,1.0,0.0,0.0,0.0,0.0,0.0
640.0,1.0,0.0,0.0,0.0,0.0,0.0
650.0,0.989247311827957,0.0,0.0,0.0,0.010752688172043012,0.0
660.0,0.9742813918305597,0.0,0.0,0.0,0.025718608169440244,0.0
670.0,0.9597615499254843,0.0,0.0,0.0,0.040238450074515646,0.0
680.0,0.9456681350954479,0.0,0.0,0.0,0.05433186490455213,0.0
690.0,0.9319826338639653,0.0,0.0,0.0,0.06801736613603473,0.0
700.0,0.9186875891583453,0.0,0.0,0.0,0.08131241084165478,0.0
710.0,0.9057665260196905,0.0,0.0,0.0,0.09423347398030943,0.0
720.0,0.8932038834951457,0.0,0.0,0.0,0.10679611650485436,0.0
730.0,0.8809849521203831,0.0,0.0,0.0,0.11901504787961696,0.0
740.0,0.8690958164642375,0.0,0.0,0.0,0.13090418353576247,0.0
750.0,0.8575233022636485,0.0,0.0,0.0,0.14247669773635152,0.0
760.0,0.8462549277266754,0.0,0.0,0.0,0.15374507227332457,0.0
770.0,0.8352788586251622,0.0,0.0,0.0,0.16472114137483787,0.0
780.0,0.8245838668373879,0.0,0.0,0.0,0.17541613316261204,0.0
790.0,0.8141592920353983,0.0,0.0,0.0,0.18584070796460178,0.0
800.0,0.8039950062421972,0.0,0.0,0.0,0.19600499375780275,0.0
810.0,0.7940813810110974,0.0,0.0,0.0,0.2059186189889026,0.0
820.0,0.784409257003654,0.0,0.0,0.0,0.2143727161997564,0.001218026796589525
830.0,0.7749699157641395,0.0,0.0,0.0,0.21179302045728038,0.013237063778580024
