,ndcg,P$@$k
0,,0.0
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
40,1.0,0.0
41,1.0,0.0
42,1.0,0.0
43,1.0,0.0
44,1.0,0.0
45,1.0,0.0
46,1.0,0.0
47,1.0,0.0
48,1.0,0.0
49,1.0,0.0
50,1.0,0.0
51,1.0,0.0
52,1.0,0.0
53,1.0,0.0
54,1.0,0.0
55,1.0,0.0036231884057971015
56,1.0,0.0035587188612099642
57,1.0,0.0034965034965034965
58,1.0,0.003436426116838488
59,1.0,0.006756756756756757
60,0.9998930559855747,0.006644518272425249
61,0.9997364532703532,0.006535947712418301
62,0.999583990332955,0.006430868167202572
63,0.999435554956706,0.006329113924050633
64,0.9991903745929839,0.006230529595015576
65,0.9990012715119688,0.006134969325153374
66,0.998963810325153,0.006042296072507553
67,0.9988307319602349,0.005952380952380952
68,0.9987009917722074,0.005865102639296188
69,0.9985744600448028,0.005780346820809248
70,0.9983582937089501,0.008547008547008548
71,0.9982386833724057,0.008426966292134831
72,0.9981220218446692,0.008310249307479225
73,0.9979634522922186,0.00819672131147541
74,0.9978525402615713,0.008086253369272238
75,0.9977006354745191,0.007978723404255319
76,0.9975092559419968,0.007874015748031496
77,0.997406891785329,0.007772020725388601
78,0.9972648424458941,0.0076726342710997444
79,0.9972086689249579,0.007575757575757576
80,0.9971537437445802,0.007481296758104738
81,0.997059443166176,0.007389162561576354
82,0.9969671545386061,0.0072992700729927005
83,0.9969162988515048,0.007211538461538462
84,0.9967492283706287,0.007125890736342043
85,0.9967014429848339,0.007042253521126761
86,0.9966163970104075,0.0069605568445475635
87,0.9965708370409712,0.006880733944954129
88,0.9964887384079228,0.006802721088435374
89,0.9964822932711321,0.006726457399103139
90,0.9964027095596574,0.0066518847006651885
91,0.9962520929171649,0.008771929824561403
92,0.9962119569822192,0.008676789587852495
93,0.9961724986584587,0.008583690987124463
94,0.9960283012824253,0.010615711252653927
95,0.9958867097620863,0.01050420168067227
96,0.995816570246159,0.010395010395010396
97,0.9957135649100366,0.012345679012345678
98,0.9956799857590461,0.012219959266802444
99,0.9956804840648399,0.012096774193548387
100,0.9956146265142456,0.013972055888223553
101,0.9955827506381628,0.01383399209486166
