pos,Group [0 0],Group [0 1],Group [0 2],Group [1 0],Group [1 1],Group [1 2]
0.0,0.0,0.0,0.0,1.0,0.0,0.0
1000.0,0.0,0.0,0.0,1.0,0.0,0.0
2000.0,0.2013993003498251,0.047476261869065464,0.0,0.7511244377811095,0.0,0.0
3000.0,0.1769410196601133,0.09530156614461846,0.0,0.7277574141952683,0.0,0.0
4000.0,0.37165708572856787,0.07148212946763309,0.0,0.5568607848037991,0.0,0.0
5000.0,0.33873225354929015,0.09658068386322735,0.0,0.5646870625874825,0.0,0.0
6000.0,0.42959506748875187,0.08048658556907182,0.0,0.4899183469421763,0.0,0.0
7000.0,0.42108270247107554,0.10027138980145693,0.0,0.4786459077274675,0.0,0.0
8000.0,0.43157105361829773,0.1118610173728284,0.0,0.4565679290088739,0.0,0.0
9000.0,0.47094767248083547,0.09943339628930119,0.0,0.42961893122986333,0.0,0.0
10000.0,0.44565543445655437,0.1110888911108889,0.0,0.44325567443255676,0.0,0.0
11000.0,0.49604581401690756,0.10099081901645304,0.0,0.40296336696663937,0.0,0.0
12000.0,0.4706274477126906,0.12798933422214814,0.0,0.40138321806516125,0.0,0.0
13000.0,0.5113452811322206,0.11814475809553111,0.0,0.3705099607722483,0.0,0.0
14000.0,0.4983929719305764,0.1258481537033069,0.0,0.3757588743661167,0.0,0.0
15000.0,0.5103659756016266,0.11745883607759483,0.0,0.3721751883207786,0.0,0.0
16000.0,0.5245922129866883,0.12117992625460909,0.0,0.3542278607587026,0.0,0.0
17000.0,0.49644138580083524,0.12687488971236985,0.0,0.3766837244867949,0.0,0.0
18000.0,0.5244153102605411,0.11982667629576135,0.0,0.35575801344369756,0.0,0.0
19000.0,0.514078206410189,0.12630914162412504,0.0,0.35961265196568604,0.0,0.0
20000.0,0.5382730863456827,0.119994000299985,0.0,0.34173291335433226,0.0,0.0
21000.0,0.528117708680539,0.12551783248416742,0.0,0.34636445883529354,0.0,0.0
22000.0,0.5205672469433208,0.130312258533703,0.0,0.3491204945229762,0.0,0.0
23000.0,0.541019955654102,0.1250380418242685,0.0,0.3339420025216295,0.0,0.0
24000.0,0.5184783967334694,0.13753593600266656,0.0,0.343985667263864,0.0,0.0
25000.0,0.5222991080356786,0.13203471861125554,0.005439782408703651,0.34022639094436224,0.0,0.0
26000.0,0.5288642744509826,0.1361870697280874,0.005230568055074805,0.32971808776585515,0.0,0.0
27000.0,0.5092774341691049,0.1407725639791119,0.005036850487019,0.34491315136476425,0.0,0.0
28000.0,0.49108960394271634,0.14492339559301454,0.01592800257133674,0.3480589978929324,0.0,0.0
29000.0,0.5042929554153305,0.14427088721078585,0.015378780042067514,0.3360573773318161,0.0,0.0
30000.0,0.49841671944268523,0.14779507349755008,0.014866171127629078,0.3389220359321356,0.0,0.0
31000.0,0.4823392793780846,0.15157575562078643,0.02483790845456598,0.341247056546563,0.0,0.0
32000.0,0.4672666479172526,0.15327646011062154,0.024061748070372802,0.3553951439017531,0.0,0.0
33000.0,0.4531074815914669,0.15596497075846186,0.03378685494378958,0.3571406927062816,0.0,0.0
34000.0,0.4608393870768507,0.15137790064998088,0.04114584865151025,0.3466368636216582,0.0,0.0
35000.0,0.4601868518042342,0.1548241478814891,0.03997028656324105,0.3450187137510357,0.0,0.0
36000.0,0.44740423877114527,0.1572734090719702,0.047887558678925586,0.34743479347795897,0.0,0.0
37000.0,0.43531255912002376,0.15883354503932326,0.055647144671765625,0.35020675116888733,0.0,0.0
38000.0,0.4238572669140286,0.16196942185731955,0.06284045156706403,0.35133285966158784,0.0,0.0
39000.0,0.4129894105279352,0.16399579497961592,0.06969052075587806,0.3476064716289326,0.005717802107638266,0.0
40000.0,0.4026649333766656,0.1710457238569036,0.07677308067298318,0.3439414014649634,0.005574860628484288,0.0
41000.0,0.39284407697373236,0.17321528743201386,0.08390039267334944,0.34460135118655644,0.005438891734347943,0.0
42000.0,0.3834908692650175,0.1697816718649556,0.08623604199900002,0.34553939191924,0.014952024951786862,0.0
43000.0,0.37457268435617774,0.1717401920885561,0.09264900816260087,0.34643380386502637,0.014604311527638893,0.0
44000.0,0.36605986227585735,0.17379150473852867,0.09765687143474013,0.33856048726165316,0.0239312742892207,0.0
45000.0,0.35792537943601255,0.17528499366680741,0.10499766671851736,0.3383924801671074,0.0233994800115553,0.0
