pos,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6
0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,1.0,0.0,0.0,0.0,0.0,0.0
40.0,1.0,0.0,0.0,0.0,0.0,0.0
50.0,1.0,0.0,0.0,0.0,0.0,0.0
60.0,1.0,0.0,0.0,0.0,0.0,0.0
70.0,1.0,0.0,0.0,0.0,0.0,0.0
80.0,1.0,0.0,0.0,0.0,0.0,0.0
90.0,1.0,0.0,0.0,0.0,0.0,0.0
100.0,1.0,0.0,0.0,0.0,0.0,0.0
110.0,1.0,0.0,0.0,0.0,0.0,0.0
120.0,1.0,0.0,0.0,0.0,0.0,0.0
130.0,1.0,0.0,0.0,0.0,0.0,0.0
140.0,1.0,0.0,0.0,0.0,0.0,0.0
150.0,1.0,0.0,0.0,0.0,0.0,0.0
160.0,1.0,0.0,0.0,0.0,0.0,0.0
170.0,1.0,0.0,0.0,0.0,0.0,0.0
180.0,1.0,0.0,0.0,0.0,0.0,0.0
190.0,1.0,0.0,0.0,0.0,0.0,0.0
200.0,1.0,0.0,0.0,0.0,0.0,0.0
210.0,1.0,0.0,0.0,0.0,0.0,0.0
220.0,1.0,0.0,0.0,0.0,0.0,0.0
230.0,1.0,0.0,0.0,0.0,0.0,0.0
240.0,1.0,0.0,0.0,0.0,0.0,0.0
250.0,1.0,0.0,0.0,0.0,0.0,0.0
260.0,1.0,0.0,0.0,0.0,0.0,0.0
270.0,1.0,0.0,0.0,0.0,0.0,0.0
280.0,1.0,0.0,0.0,0.0,0.0,0.0
290.0,1.0,0.0,0.0,0.0,0.0,0.0
300.0,1.0,0.0,0.0,0.0,0.0,0.0
310.0,1.0,0.0,0.0,0.0,0.0,0.0
320.0,1.0,0.0,0.0,0.0,0.0,0.0
330.0,1.0,0.0,0.0,0.0,0.0,0.0
340.0,1.0,0.0,0.0,0.0,0.0,0.0
350.0,1.0,0.0,0.0,0.0,0.0,0.0
360.0,1.0,0.0,0.0,0.0,0.0,0.0
370.0,1.0,0.0,0.0,0.0,0.0,0.0
380.0,1.0,0.0,0.0,0.0,0.0,0.0
390.0,1.0,0.0,0.0,0.0,0.0,0.0
400.0,1.0,0.0,0.0,0.0,0.0,0.0
410.0,1.0,0.0,0.0,0.0,0.0,0.0
420.0,1.0,0.0,0.0,0.0,0.0,0.0
430.0,1.0,0.0,0.0,0.0,0.0,0.0
440.0,1.0,0.0,0.0,0.0,0.0,0.0
450.0,1.0,0.0,0.0,0.0,0.0,0.0
460.0,1.0,0.0,0.0,0.0,0.0,0.0
470.0,1.0,0.0,0.0,0.0,0.0,0.0
480.0,1.0,0.0,0.0,0.0,0.0,0.0
490.0,1.0,0.0,0.0,0.0,0.0,0.0
500.0,1.0,0.0,0.0,0.0,0.0,0.0
510.0,1.0,0.0,0.0,0.0,0.0,0.0
520.0,1.0,0.0,0.0,0.0,0.0,0.0
530.0,1.0,0.0,0.0,0.0,0.0,0.0
540.0,1.0,0.0,0.0,0.0,0.0,0.0
550.0,1.0,0.0,0.0,0.0,0.0,0.0
560.0,1.0,0.0,0.0,0.0,0.0,0.0
570.0,1.0,0.0,0.0,0.0,0.0,0.0
580.0,1.0,0.0,0.0,0.0,0.0,0.0
590.0,1.0,0.0,0.0,0.0,0.0,0.0
600.0,1.0,0.0,0.0,0.0,0.0,0.0
610.0,1.0,0.0,0.0,0.0,0.0,0.0
620.0,1.0,0.0,0.0,0.0,0.0,0.0
630.0,1.0,0.0,0.0,0.0,0.0,0.0
640.0,1.0,0.0,0.0,0.0,0.0,0.0
650.0,1.0,0.0,0.0,0.0,0.0,0.0
660.0,1.0,0.0,0.0,0.0,0.0,0.0
670.0,1.0,0.0,0.0,0.0,0.0,0.0
680.0,1.0,0.0,0.0,0.0,0.0,0.0
690.0,1.0,0.0,0.0,0.0,0.0,0.0
700.0,1.0,0.0,0.0,0.0,0.0,0.0
710.0,1.0,0.0,0.0,0.0,0.0,0.0
720.0,1.0,0.0,0.0,0.0,0.0,0.0
730.0,1.0,0.0,0.0,0.0,0.0,0.0
740.0,1.0,0.0,0.0,0.0,0.0,0.0
750.0,1.0,0.0,0.0,0.0,0.0,0.0
760.0,1.0,0.0,0.0,0.0,0.0,0.0
770.0,1.0,0.0,0.0,0.0,0.0,0.0
780.0,1.0,0.0,0.0,0.0,0.0,0.0
790.0,1.0,0.0,0.0,0.0,0.0,0.0
800.0,1.0,0.0,0.0,0.0,0.0,0.0
810.0,1.0,0.0,0.0,0.0,0.0,0.0
820.0,1.0,0.0,0.0,0.0,0.0,0.0
830.0,1.0,0.0,0.0,0.0,0.0,0.0
840.0,1.0,0.0,0.0,0.0,0.0,0.0
850.0,1.0,0.0,0.0,0.0,0.0,0.0
860.0,1.0,0.0,0.0,0.0,0.0,0.0
870.0,1.0,0.0,0.0,0.0,0.0,0.0
880.0,1.0,0.0,0.0,0.0,0.0,0.0
890.0,1.0,0.0,0.0,0.0,0.0,0.0
900.0,1.0,0.0,0.0,0.0,0.0,0.0
910.0,1.0,0.0,0.0,0.0,0.0,0.0
