pos,ndcg,P$@$k
0.0,,1.0
10.0,1.0,1.0
20.0,1.0,1.0
30.0,1.0,1.0
40.0,1.0,1.0
50.0,1.0,1.0
60.0,1.0,1.0
70.0,1.0,1.0
80.0,1.0,0.9876543209876543
90.0,1.0,0.8791208791208791
100.0,1.0,0.7920792079207921
110.0,1.0,0.7207207207207207
120.0,1.0,0.6611570247933884
130.0,1.0,0.6106870229007634
140.0,1.0,0.5673758865248227
150.0,1.0,0.5298013245033113
160.0,1.0,0.4968944099378882
170.0,0.9998241068003199,0.49707602339181284
180.0,0.9994131492735513,0.5248618784530387
190.0,0.9990387025203997,0.5497382198952879
200.0,0.9986959096612406,0.572139303482587
210.0,0.9983807569758804,0.5924170616113744
220.0,0.9982278504075865,0.6108597285067874
230.0,0.9982855717852874,0.6277056277056277
240.0,0.9984986593219559,0.6431535269709544
250.0,0.998851353913668,0.6573705179282868
260.0,0.9991811043583821,0.6704980842911877
270.0,0.9994616063246374,0.6826568265682657
280.0,0.9995039298084246,0.693950177935943
290.0,0.999597090031865,0.7044673539518901
300.0,0.9998665395220411,0.7142857142857143
310.0,0.9997192390026,0.6945337620578779
320.0,0.9994819668505867,0.6728971962616822
330.0,0.9993042382973781,0.6525679758308157
340.0,0.9993197975365269,0.6334310850439883
350.0,0.9993346032047938,0.6153846153846154
360.0,0.9993487108846739,0.5983379501385041
370.0,0.999362170709562,0.5822102425876011
380.0,0.9993750280243068,0.5669291338582677
390.0,0.9993873239510817,0.5524296675191815
400.0,0.9994585326705747,0.5386533665835411
410.0,0.9994686987368772,0.5255474452554745
420.0,0.9996297817072527,0.5130641330166271
430.0,0.9998215416758361,0.5011600928074246
440.0,0.9999153392456173,0.4897959183673469
450.0,0.9999167959698081,0.4789356984478936
460.0,0.999918198406159,0.4685466377440347
470.0,0.9999195496463626,0.4585987261146497
480.0,0.9998875059419498,0.4553014553014553
490.0,0.9997255367652831,0.4663951120162933
500.0,0.9997136819317087,0.47704590818363274
510.0,0.9997180181561512,0.487279843444227
520.0,0.9997222120271386,0.4971209213051823
530.0,0.9997262707002879,0.5065913370998116
540.0,0.999730200849963,0.5157116451016636
550.0,0.9997486913188859,0.5245009074410163
560.0,0.9998967403248633,0.5329768270944741
570.0,0.9999266111051338,0.5411558669001751
580.0,0.9999275966898787,0.5490533562822719
590.0,0.9999285535988894,0.5549915397631133
600.0,0.9997939631211027,0.5457570715474209
610.0,0.999663165582361,0.5368248772504092
620.0,0.9995359971386107,0.5281803542673108
630.0,0.9994123034309468,0.5198098256735341
640.0,0.9992919389005885,0.5117004680187207
650.0,0.9992501045195553,0.5038402457757296
660.0,0.9992465469150451,0.4962178517397882
670.0,0.999243085584574,0.488822652757079
680.0,0.9992517541825098,0.48164464023494863
690.0,0.9993196388396586,0.47467438494934877
700.0,0.999444560812631,0.46790299572039945
710.0,0.999566465899388,0.4613220815752461
720.0,0.9996740330407933,0.4549237170596394
